full_text,casefolding,cleanedtext,slangremoved,stopwordremoved,tokenized,stemming,stemming_str,sentiment
Wamen PKP Bicara soal Program 3 Juta Rumah Prabowo,wamen pkp bicara soal program 3 juta rumah prabowo,wamen pkp bicara soal program juta rumah prabowo,wamen pkp bicara soal program juta rumah prabowo,wamen pkp bicara program juta rumah prabowo,"['wamen', 'pkp', 'bicara', 'program', 'juta', 'rumah', 'prabowo']","['wamen', 'pkp', 'bicara', 'program', 'juta', 'rumah', 'prabowo']",wamen pkp bicara program juta rumah prabowo,positif
Prabowo Tegaskan Segaris dengan Malaysia Dukung Kemerdekaan Palestina,prabowo tegaskan segaris dengan malaysia dukung kemerdekaan palestina,prabowo tegaskan segaris dengan malaysia dukung kemerdekaan palestina,prabowo tegaskan segaris dengan malaysia dukung kemerdekaan palestina,prabowo tegaskan segaris malaysia dukung kemerdekaan palestina,"['prabowo', 'tegaskan', 'segaris', 'malaysia', 'dukung', 'kemerdekaan', 'palestina']","['prabowo', 'tegas', 'segar', 'malaysia', 'dukung', 'merdeka', 'palestina']",prabowo tegas segar malaysia dukung merdeka palestina,positif
Prabowo dan Anwar Ibrahim Sepakat Tertibkan Masalah Tenaga Kerja,prabowo dan anwar ibrahim sepakat tertibkan masalah tenaga kerja,prabowo dan anwar ibrahim sepakat tertibkan masalah tenaga kerja,prabowo dan anwar ibrahim sepakat tertibkan masalah tenaga kerja,prabowo anwar ibrahim sepakat tertibkan tenaga kerja,"['prabowo', 'anwar', 'ibrahim', 'sepakat', 'tertibkan', 'tenaga', 'kerja']","['prabowo', 'anwar', 'ibrahim', 'sepakat', 'tertib', 'tenaga', 'kerja']",prabowo anwar ibrahim sepakat tertib tenaga kerja,positif
Video Djarot Optimistis Megawati-Prabowo Akan Bertemu: Saya Yakin Terwujud,video djarot optimistis megawati-prabowo akan bertemu: saya yakin terwujud,video djarot optimistis megawati prabowo akan bertemu saya yakin terwujud,video djarot optimistis megawati prabowo akan bertemu saya yakin terwujud,video djarot optimistis megawati prabowo bertemu terwujud,"['video', 'djarot', 'optimistis', 'megawati', 'prabowo', 'bertemu', 'terwujud']","['video', 'djarot', 'optimistis', 'megawati', 'prabowo', 'temu', 'wujud']",video djarot optimistis megawati prabowo temu wujud,positif
Memahami dan Mendukung Jalan Pemulihan Presiden Prabowo,memahami dan mendukung jalan pemulihan presiden prabowo,memahami dan mendukung jalan pemulihan presiden prabowo,memahami dan mendukung jalan pemulihan presiden prabowo,memahami mendukung jalan pemulihan presiden prabowo,"['memahami', 'mendukung', 'jalan', 'pemulihan', 'presiden', 'prabowo']","['paham', 'dukung', 'jalan', 'pulih', 'presiden', 'prabowo']",paham dukung jalan pulih presiden prabowo,positif
Momen Kuliner Mayor Teddy dengan Menteri dan Imam Besar Masjidil Haram,momen kuliner mayor teddy dengan menteri dan imam besar masjidil haram,momen kuliner mayor teddy dengan menteri dan imam besar masjidil haram,momen kuliner mayor teddy dengan menteri dan imam besar masjidil haram,momen kuliner mayor teddy menteri imam masjidil haram,"['momen', 'kuliner', 'mayor', 'teddy', 'menteri', 'imam', 'masjidil', 'haram']","['momen', 'kuliner', 'mayor', 'teddy', 'menteri', 'imam', 'masjidil', 'haram']",momen kuliner mayor teddy menteri imam masjidil haram,negatif
"Video Survei Indikator: 79,3% Responden Puas dengan Kinerja Presiden Prabowo","video survei indikator: 79,3% responden puas dengan kinerja presiden prabowo",video survei indikator responden puas dengan kinerja presiden prabowo,video survei indikator responden puas dengan kinerja presiden prabowo,video survei indikator responden puas kinerja presiden prabowo,"['video', 'survei', 'indikator', 'responden', 'puas', 'kinerja', 'presiden', 'prabowo']","['video', 'survei', 'indikator', 'responden', 'puas', 'kerja', 'presiden', 'prabowo']",video survei indikator responden puas kerja presiden prabowo,positif
Djarot PDIP Ungkap Kabar Terbaru soal Rencana Pertemuan Megawati-Prabowo,djarot pdip ungkap kabar terbaru soal rencana pertemuan megawati-prabowo,djarot pdip ungkap kabar terbaru soal rencana pertemuan megawati prabowo,djarot pdip ungkap kabar terbaru soal rencana pertemuan megawati prabowo,djarot pdip kabar terbaru rencana pertemuan megawati prabowo,"['djarot', 'pdip', 'kabar', 'terbaru', 'rencana', 'pertemuan', 'megawati', 'prabowo']","['djarot', 'pdip', 'kabar', 'baru', 'rencana', 'temu', 'megawati', 'prabowo']",djarot pdip kabar baru rencana temu megawati prabowo,negatif
Alissa Wahid hingga Eks Pimpinan KPK Kumpul Bahas 100 Hari Prabowo-Gibran,alissa wahid hingga eks pimpinan kpk kumpul bahas 100 hari prabowo-gibran,alissa wahid hingga eks pimpinan kpk kumpul bahas hari prabowo gibran,alissa wahid hingga eks pimpinan kpk kumpul bahas hari prabowo gibran,alissa wahid eks pimpinan kpk kumpul bahas prabowo gibran,"['alissa', 'wahid', 'eks', 'pimpinan', 'kpk', 'kumpul', 'bahas', 'prabowo', 'gibran']","['alissa', 'wahid', 'eks', 'pimpin', 'kpk', 'kumpul', 'bahas', 'prabowo', 'gibran']",alissa wahid eks pimpin kpk kumpul bahas prabowo gibran,negatif
Video: Momen Prabowo Hadiri 'Resepsi Diplomatik' di India,video: momen prabowo hadiri 'resepsi diplomatik' di india,video momen prabowo hadiri resepsi diplomatik di india,video momen prabowo hadiri resepsi diplomatik di india,video momen prabowo hadiri resepsi diplomatik india,"['video', 'momen', 'prabowo', 'hadiri', 'resepsi', 'diplomatik', 'india']","['video', 'momen', 'prabowo', 'hadir', 'resepsi', 'diplomatik', 'india']",video momen prabowo hadir resepsi diplomatik india,negatif
Prabowo Dianugerahi Tanda Kehormatan Darjah Kerabat Johor di Malaysia,prabowo dianugerahi tanda kehormatan darjah kerabat johor di malaysia,prabowo dianugerahi tanda kehormatan darjah kerabat johor di malaysia,prabowo dianugerahi tanda kehormatan darjah kerabat johor di malaysia,prabowo dianugerahi tanda kehormatan darjah kerabat johor malaysia,"['prabowo', 'dianugerahi', 'tanda', 'kehormatan', 'darjah', 'kerabat', 'johor', 'malaysia']","['prabowo', 'anugerah', 'tanda', 'hormat', 'darjah', 'kerabat', 'johor', 'malaysia']",prabowo anugerah tanda hormat darjah kerabat johor malaysia,negatif
"India Pamerkan Rudal Jumbo ke Prabowo, Begini Penampakannya","india pamerkan rudal jumbo ke prabowo, begini penampakannya",india pamerkan rudal jumbo ke prabowo begini penampakannya,india pamerkan rudal jumbo ke prabowo begini penampakannya,india pamerkan rudal jumbo prabowo penampakannya,"['india', 'pamerkan', 'rudal', 'jumbo', 'prabowo', 'penampakannya']","['india', 'pamer', 'rudal', 'jumbo', 'prabowo', 'tampak']",india pamer rudal jumbo prabowo tampak,negatif
Video: Momen Prabowo Dianugerahi Tanda Kehormatan Darjah Kerabat Johor,video: momen prabowo dianugerahi tanda kehormatan darjah kerabat johor,video momen prabowo dianugerahi tanda kehormatan darjah kerabat johor,video momen prabowo dianugerahi tanda kehormatan darjah kerabat johor,video momen prabowo dianugerahi tanda kehormatan darjah kerabat johor,"['video', 'momen', 'prabowo', 'dianugerahi', 'tanda', 'kehormatan', 'darjah', 'kerabat', 'johor']","['video', 'momen', 'prabowo', 'anugerah', 'tanda', 'hormat', 'darjah', 'kerabat', 'johor']",video momen prabowo anugerah tanda hormat darjah kerabat johor,negatif
Djarot Yakin Pertemuan Megawati-Prabowo Akan Terwujud: Baik untuk Bangsa,djarot yakin pertemuan megawati-prabowo akan terwujud: baik untuk bangsa,djarot yakin pertemuan megawati prabowo akan terwujud baik untuk bangsa,djarot yakin pertemuan megawati prabowo akan terwujud baik untuk bangsa,djarot pertemuan megawati prabowo terwujud bangsa,"['djarot', 'pertemuan', 'megawati', 'prabowo', 'terwujud', 'bangsa']","['djarot', 'temu', 'megawati', 'prabowo', 'wujud', 'bangsa']",djarot temu megawati prabowo wujud bangsa,positif
"RI-Malaysia Produksi 80% Sawit Dunia, Prabowo: Semua Negara Perlu","ri-malaysia produksi 80% sawit dunia, prabowo: semua negara perlu",ri malaysia produksi sawit dunia prabowo semua negara perlu,ri malaysia produksi sawit dunia prabowo semua negara perlu,ri malaysia produksi sawit dunia prabowo negara,"['ri', 'malaysia', 'produksi', 'sawit', 'dunia', 'prabowo', 'negara']","['ri', 'malaysia', 'produksi', 'sawit', 'dunia', 'prabowo', 'negara']",ri malaysia produksi sawit dunia prabowo negara,negatif
Erick Thohir-Sri Mulyani jadi Menteri Ekonomi Prabowo dengan Kinerja Terbaik,erick thohir-sri mulyani jadi menteri ekonomi prabowo dengan kinerja terbaik,erick thohir sri mulyani jadi menteri ekonomi prabowo dengan kinerja terbaik,erick thohir sri mulyani jadi menteri ekonomi prabowo dengan kinerja terbaik,erick thohir sri mulyani menteri ekonomi prabowo kinerja terbaik,"['erick', 'thohir', 'sri', 'mulyani', 'menteri', 'ekonomi', 'prabowo', 'kinerja', 'terbaik']","['erick', 'thohir', 'sri', 'mulyani', 'menteri', 'ekonomi', 'prabowo', 'kerja', 'baik']",erick thohir sri mulyani menteri ekonomi prabowo kerja baik,positif
"Depan PM Malaysia & Prabowo, Axiata-Sinar Mas Siap Tuntaskan Merger","depan pm malaysia & prabowo, axiata-sinar mas siap tuntaskan merger",depan pm malaysia prabowo axiata sinar mas siap tuntaskan merger,depan pm malaysia prabowo axiata sinar mas siap tuntaskan merger,pm malaysia prabowo axiata sinar mas tuntaskan merger,"['pm', 'malaysia', 'prabowo', 'axiata', 'sinar', 'mas', 'tuntaskan', 'merger']","['pm', 'malaysia', 'prabowo', 'axiata', 'sinar', 'mas', 'tuntas', 'merger']",pm malaysia prabowo axiata sinar mas tuntas merger,positif
Video: Terungkap Alasan Prabowo Kirim Kado Bunga Anggrek untuk Megawati,video: terungkap alasan prabowo kirim kado bunga anggrek untuk megawati,video terungkap alasan prabowo kirim kado bunga anggrek untuk megawati,video terungkap alasan prabowo kirim kado bunga anggrek untuk megawati,video terungkap alasan prabowo kirim kado bunga anggrek megawati,"['video', 'terungkap', 'alasan', 'prabowo', 'kirim', 'kado', 'bunga', 'anggrek', 'megawati']","['video', 'ungkap', 'alas', 'prabowo', 'kirim', 'kado', 'bunga', 'anggrek', 'megawati']",video ungkap alas prabowo kirim kado bunga anggrek megawati,negatif
Video: Cak Imin Sambut Baik Wacana Pertemuan Megawati-Prabowo,video: cak imin sambut baik wacana pertemuan megawati-prabowo,video cak imin sambut baik wacana pertemuan megawati prabowo,video cak imin sambut baik wacana pertemuan megawati prabowo,video cak imin sambut wacana pertemuan megawati prabowo,"['video', 'cak', 'imin', 'sambut', 'wacana', 'pertemuan', 'megawati', 'prabowo']","['video', 'cak', 'imin', 'sambut', 'wacana', 'temu', 'megawati', 'prabowo']",video cak imin sambut wacana temu megawati prabowo,positif
Keakraban Prabowo-Modi: Inspirasi Keselarasan Visi,keakraban prabowo-modi: inspirasi keselarasan visi,keakraban prabowo modi inspirasi keselarasan visi,keakraban prabowo modi inspirasi keselarasan visi,keakraban prabowo modi inspirasi keselarasan visi,"['keakraban', 'prabowo', 'modi', 'inspirasi', 'keselarasan', 'visi']","['akrab', 'prabowo', 'modi', 'inspirasi', 'selaras', 'visi']",akrab prabowo modi inspirasi selaras visi,positif
Saran Komnas HAM Papua soal Wacana Presiden Prabowo Beri Amnesti ke KKB,saran komnas ham papua soal wacana presiden prabowo beri amnesti ke kkb,saran komnas ham papua soal wacana presiden prabowo beri amnesti ke kkb,saran komnas ham papua soal wacana presiden prabowo beri amnesti ke kkb,saran komnas ham papua wacana presiden prabowo amnesti kkb,"['saran', 'komnas', 'ham', 'papua', 'wacana', 'presiden', 'prabowo', 'amnesti', 'kkb']","['saran', 'komnas', 'ham', 'papua', 'wacana', 'presiden', 'prabowo', 'amnesti', 'kkb']",saran komnas ham papua wacana presiden prabowo amnesti kkb,negatif
Momen Akrab Pertemuan Prabowo-Anwar Ibrahim di Menara Petronas,momen akrab pertemuan prabowo-anwar ibrahim di menara petronas,momen akrab pertemuan prabowo anwar ibrahim di menara petronas,momen akrab pertemuan prabowo anwar ibrahim di menara petronas,momen akrab pertemuan prabowo anwar ibrahim menara petronas,"['momen', 'akrab', 'pertemuan', 'prabowo', 'anwar', 'ibrahim', 'menara', 'petronas']","['momen', 'akrab', 'temu', 'prabowo', 'anwar', 'ibrahim', 'menara', 'petronas']",momen akrab temu prabowo anwar ibrahim menara petronas,positif
"Survei Indikator: 79,3% Responden Puas dengan Kinerja Presiden Prabowo","survei indikator: 79,3% responden puas dengan kinerja presiden prabowo",survei indikator responden puas dengan kinerja presiden prabowo,survei indikator responden puas dengan kinerja presiden prabowo,survei indikator responden puas kinerja presiden prabowo,"['survei', 'indikator', 'responden', 'puas', 'kinerja', 'presiden', 'prabowo']","['survei', 'indikator', 'responden', 'puas', 'kerja', 'presiden', 'prabowo']",survei indikator responden puas kerja presiden prabowo,positif
Canda Anwar Ibrahim Usai Prabowo Bergelar D.KI Johor: Lebih dari Dato' Seri,canda anwar ibrahim usai prabowo bergelar d.ki johor: lebih dari dato' seri,canda anwar ibrahim usai prabowo bergelar d ki johor lebih dari dato seri,canda anwar ibrahim usai prabowo bergelar di ki johor lebih dari dato seri,canda anwar ibrahim prabowo bergelar ki johor dato seri,"['canda', 'anwar', 'ibrahim', 'prabowo', 'bergelar', 'ki', 'johor', 'dato', 'seri']","['canda', 'anwar', 'ibrahim', 'prabowo', 'gelar', 'ki', 'johor', 'dato', 'seri']",canda anwar ibrahim prabowo gelar ki johor dato seri,negatif
Momen Presiden Prabowo Disambut Upacara Kenegaraan India,momen presiden prabowo disambut upacara kenegaraan india,momen presiden prabowo disambut upacara kenegaraan india,momen presiden prabowo disambut upacara kenegaraan india,momen presiden prabowo disambut upacara kenegaraan india,"['momen', 'presiden', 'prabowo', 'disambut', 'upacara', 'kenegaraan', 'india']","['momen', 'presiden', 'prabowo', 'sambut', 'upacara', 'negara', 'india']",momen presiden prabowo sambut upacara negara india,positif
