full_text,created_at,link
Wamen PKP Bicara soal Program 3 Juta Rumah Prabowo,"Selasa, 28 Jan 2025 19:01 WIB",https://www.detik.com/jogja/bisnis/d-7753430/wamen-pkp-bicara-soal-program-3-juta-rumah-prabowo
Prabowo Tegaskan Segaris dengan Malaysia Dukung Kemerdekaan Palestina,"Selasa, 28 Jan 2025 15:34 WIB",https://news.detik.com/berita/d-7753176/prabowo-tegaskan-segaris-dengan-malaysia-dukung-kemerdekaan-palestina
Prabowo dan Anwar Ibrahim Sepakat Tertibkan Masalah Tenaga Kerja,"Selasa, 28 Jan 2025 14:58 WIB",https://news.detik.com/berita/d-7753136/prabowo-dan-anwar-ibrahim-sepakat-tertibkan-masalah-tenaga-kerja
Video Djarot Optimistis Megawati-Prabowo Akan Bertemu: Saya Yakin Terwujud,"Selasa, 28 Jan 2025 11:51 WIB",https://20.detik.com/detikupdate/20250128-250128062/video-djarot-optimistis-megawati-prabowo-akan-bertemu-saya-yakin-terwujud
16 Pos Anggaran yang Dihemat Prabowo: Alat Tulis Hingga Perdinas,"Selasa, 28 Jan 2025 14:00 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7752926/16-pos-anggaran-yang-dihemat-prabowo-alat-tulis-hingga-perdinas
Prabowo: Saya Merasa Pulang Kampung Kalau ke Malaysia,"Senin, 27 Jan 2025 21:19 WIB",https://news.detik.com/berita/d-7752464/prabowo-saya-merasa-pulang-kampung-kalau-ke-malaysia
Memahami dan Mendukung Jalan Pemulihan Presiden Prabowo,"Senin, 27 Jan 2025 11:18 WIB",https://news.detik.com/kolom/d-7751715/memahami-dan-mendukung-jalan-pemulihan-presiden-prabowo
Momen Kuliner Mayor Teddy dengan Menteri dan Imam Besar Masjidil Haram,"Selasa, 28 Jan 2025 21:00 WIB",https://food.detik.com/foto-kuliner/d-7753265/momen-kuliner-mayor-teddy-dengan-menteri-dan-imam-besar-masjidil-haram
"Video Survei Indikator: 79,3% Responden Puas dengan Kinerja Presiden Prabowo","Senin, 27 Jan 2025 15:50 WIB",https://news.detik.com/detiktv/d-7752087/video-survei-indikator-79-3-responden-puas-dengan-kinerja-presiden-prabowo
Djarot PDIP Ungkap Kabar Terbaru soal Rencana Pertemuan Megawati-Prabowo,"Selasa, 28 Jan 2025 13:00 WIB",https://www.detik.com/sumut/berita/d-7752957/djarot-pdip-ungkap-kabar-terbaru-soal-rencana-pertemuan-megawati-prabowo
Alissa Wahid hingga Eks Pimpinan KPK Kumpul Bahas 100 Hari Prabowo-Gibran,"Selasa, 28 Jan 2025 16:19 WIB",https://news.detik.com/berita/d-7753252/alissa-wahid-hingga-eks-pimpinan-kpk-kumpul-bahas-100-hari-prabowo-gibran
Video Djarot Optimistis Megawati-Prabowo Akan Bertemu: Saya Yakin Terwujud,"Selasa, 28 Jan 2025 13:23 WIB",https://news.detik.com/detiktv/d-7753020/video-djarot-optimistis-megawati-prabowo-akan-bertemu-saya-yakin-terwujud
Video: Momen Prabowo Hadiri 'Resepsi Diplomatik' di India,"Senin, 27 Jan 2025 13:06 WIB",https://news.detik.com/detiktv/d-7751853/video-momen-prabowo-hadiri-resepsi-diplomatik-di-india
Prabowo Dianugerahi Tanda Kehormatan Darjah Kerabat Johor di Malaysia,"Senin, 27 Jan 2025 21:05 WIB",https://news.detik.com/berita/d-7752457/prabowo-dianugerahi-tanda-kehormatan-darjah-kerabat-johor-di-malaysia
"India Pamerkan Rudal Jumbo ke Prabowo, Begini Penampakannya","Senin, 27 Jan 2025 09:00 WIB",https://www.detik.com/sumut/berita/d-7751448/india-pamerkan-rudal-jumbo-ke-prabowo-begini-penampakannya
Video: Momen Prabowo Dianugerahi Tanda Kehormatan Darjah Kerabat Johor,"Senin, 27 Jan 2025 22:31 WIB",https://20.detik.com/detikupdate/20250127-250127089/video-momen-prabowo-dianugerahi-tanda-kehormatan-darjah-kerabat-johor
Djarot Yakin Pertemuan Megawati-Prabowo Akan Terwujud: Baik untuk Bangsa,"Selasa, 28 Jan 2025 11:26 WIB",https://news.detik.com/berita/d-7752901/djarot-yakin-pertemuan-megawati-prabowo-akan-terwujud-baik-untuk-bangsa
"RI-Malaysia Produksi 80% Sawit Dunia, Prabowo: Semua Negara Perlu","Selasa, 28 Jan 2025 10:31 WIB",https://finance.detik.com/energi/d-7752808/ri-malaysia-produksi-80-sawit-dunia-prabowo-semua-negara-perlu
Erick Thohir-Sri Mulyani jadi Menteri Ekonomi Prabowo dengan Kinerja Terbaik,"Selasa, 28 Jan 2025 12:03 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7753030/erick-thohir-sri-mulyani-jadi-menteri-ekonomi-prabowo-dengan-kinerja-terbaik
Para Tokoh Bangsa Beri Catatan 100 Hari Prabowo-Gibran,"Selasa, 28 Jan 2025 18:00 WIB",https://news.detik.com/foto-news/d-7753333/para-tokoh-bangsa-beri-catatan-100-hari-prabowo-gibran
"Depan PM Malaysia & Prabowo, Axiata-Sinar Mas Siap Tuntaskan Merger","Selasa, 28 Jan 2025 11:31 WIB",https://inet.detik.com/business/d-7752879/depan-pm-malaysia-prabowo-axiata-sinar-mas-siap-tuntaskan-merger
Video: Terungkap Alasan Prabowo Kirim Kado Bunga Anggrek untuk Megawati,"Sabtu, 25 Jan 2025 17:02 WIB",https://news.detik.com/detiktv/d-7749763/video-terungkap-alasan-prabowo-kirim-kado-bunga-anggrek-untuk-megawati
