"id","slang","formal"
"1","ajh","saja"
"2","ajj","saja"
"3","akoh","aku"
"4","amaca","ah masa"
"5","amuh","kamu"
"6","aph","apa"
"7","apose","apa"
"8","apz","apa"
"9","aq","saya"
"10","baryaw","sabar ya"
"11","baryw","sabar ya"
"12","bryaw","sabar ya"
"13","bryw","sabar ya"
"14","bay","selamat tinggal"
"15","besoq","besok"
"16","beud","banget"
"17","bhay","selamat tinggal"
"18","bisya","bisa"
"19","biza","bisa"
"20","bntr","sebentar"
"21","bokap","ayah"
"22","bkap","ayah"
"23","bkp","ayah"
"24","bokaps","ayah"
"25","bokapz","ayah"
"26","bs","bisa"
"27","bsa","bisa"
"28","bsk","besok"
"29","bsoq","besok"
"30","bte","bosan"
"31","bozen","bosan"
"32","bozn","bosan"
"33","bzn","bosan"
"34","bzen","bosan"
"35","cabut","pergi"
"36","caiank","sayang"
"37","cekola","sekolah"
"38","cekolah","sekolah"
"39","celalaw","selalu"
"40","celalu","selalu"
"41","cemungudh","semangat"
"42","cemungut","semangat"
"43","cemunguth","semangat"
"44","cibuq","sibuk"
"45","cini","sini"
"46","ciyus","serius"
"47","cll","selalu"
"48","cllu","selalu"
"49","cllw","selalu"
"50","cpe","capek"
"51","cpee","capek"
"52","cewe","cewek"
"53","cwe","cewek"
"54","cowo","cowok"
"55","cwo","cowok"
"56","dah","sudah"
"57","dapa","ada apa"
"58","dapah","ada apa"
"59","dftr","daftar"
"60","dh","sudah"
"61","dimance","dimana"
"62","dimandose","dimana"
"63","dimans","dimana"
"64","duluw","dulu"
"65","ea","ya"
"66","emg","memang"
"67","eteb","bosan"
"68","g","tidak"
"69","ga","tidak"
"70","gabut","menganggur"
"71","gak","tidak"
"72","gakz","tidak"
"73","gatau","tidak tahu"
"74","gataw","tidak tahu"
"75","gengges","ganggu"
"76","ghiy","lagi"
"77","gi","lagi"
"78","gk","tidak"
"79","gpp","tidak apa apa"
"80","gtw","tidak tahu"
"81","gue","saya"
"82","gw","saya"
"83","gx","tidak"
"84","hums","rumah"
"85","humz","rumah"
"86","huum","iya"
"87","iy","iya"
"88","iyach","iya"
"89","iyap","iya"
"90","iyapz","iya"
"91","iyup","iya"
"92","iyupz","iya"
"93","iz","iya"
"94","iza","iya"
"95","izza","iya"
"96","jamber","jam berapa"
"97","jd","jadi"
"98","jdi","jadi"
"99","jg","juga"
"100","jga","juga"
"101","jgn","jangan"
"102","jngan","jangan"
"103","jngn","jangan"
"104","kacian","kasihan"
"105","kaka","kakak"
"106","kau","kamu"
"107","keles","kali"
"108","kenapah","kenapa"
"109","kenaps","kenapa"
"110","kenapz","kenapa"
"111","kepo","ingin tahu"
"112","keyen","keren"
"113","khan","kan"
"114","khanz","kan"
"115","kk","kakak"
"116","klo","kalau"
"117","klw","kalau"
"118","km","kamu"
"119","kmrn","kemarin"
"120","kmu","kamu"
"121","knp","kenapa"
"122","koq","kok"
"123","kpan","kapan"
"124","kpn","kapan"
"125","kuq","kok"
"126","kuy","ayo"
"127","kw","kamu"
"128","kzl","kesal"
"129","lam","salam"
"130","leh","boleh"
