word,sentiment
prabowo,positive
perintah,positive
presiden,positive
indonesia,positive
rakyat,positive
kerja,positive
harikerjanyata,positive
negara,positive
orang,positive
video,positive
menteri,positive
makan,positive
jokowi,positive
dukung,positive
hukum,positive
program,positive
laut,positive
anak,positive
nyata,positive
gibran,positive
masyarakat,positive
bikin,positive
amp,positive
bangun,positive
bawa,positive
hasil,positive
gratis,positive
jabat,positive
india,positive
banget,positive
bangsa,positive
temu,positive
negeri,positive
bukti,positive
usaha,positive
jalan,positive
kasih,positive
mulyono,positive
proyek,positive
kabinet,positive
berani,positive
kuat,positive
gizi,positive
ekonomi,positive
salah,positive
pangan,positive
harap,positive
langkah,positive
biar,positive
pimpin,positive
learn,negative
rekonstruksi,negative
hpl,negative
kot,negative
marking,negative
occasion,negative
padhalkan,negative
nb,negative
grib,negative
skripsi,negative
gadipake,negative
meh,negative
travesty,negative
justice,negative
madey,negative
pendakwaraya,negative
get,negative
worthy,negative
selera,negative
anything,negative
wokwokwok,negative
berahir,negative
bdok,negative
opinion,negative
milestone,negative
mous,negative
bilateralrelations,negative
indiaindonesia,negative
indopacific,negative
economicpartnership,negative
membley,negative
sak,negative
penak,negative
dihabisin,negative
priok,negative
pacific,negative
song,negative
embrace,negative
bollywood,negative
laid,negative
petenteng,negative
cros,negative
chek,negative
ptun,negative
diq,negative
hepi,negative
speedrun,negative
kesal,negative
think,negative
prabowopresidenboneka,negative
mu,neutral
pilgub,neutral
gap,neutral
balap,neutral
nutrition,neutral
ceritanyeeeeee,neutral
manuver,neutral
buk,neutral
mesum,neutral
gaji,neutral
legislatif,neutral
digitalisasi,neutral
misuse,neutral
kutaikartanegara,neutral
vadis,neutral
semengerikannitu,neutral
esemka,neutral
timor,neutral
noh,neutral
himbara,neutral
jht,neutral
dapur,neutral
dor,neutral
is,neutral
judol,neutral
tetangga,neutral
masya,neutral
duga,neutral
referensi,neutral
simulplongo,neutral
rosiade,neutral
ormas,neutral
koentji,neutral
kalo,neutral
genang,neutral
strim,neutral
apmm,neutral
nyalip,neutral
sip,neutral
kapitalisme,neutral
cabang,neutral
child,neutral
skema,neutral
kairo,neutral
game,neutral
piety,neutral
nyapres,neutral
warna,neutral
perangai,neutral
tingkah,neutral
sumpel,neutral
reply,neutral
iur,neutral
massa,neutral
tumbal,neutral
sisi,neutral
tuntut,neutral
tiktok,neutral
birokrasi,neutral
rangsum,neutral
nuwun,neutral
